match_id,winner_home_or_away,winner_team_name,home_score,away_score,home_substitutions,away_substitutions,red_cards,matchweek,home_name,home_starters_0,home_starters_1,home_starters_2,home_starters_3,home_starters_4,home_starters_5,home_starters_6,home_starters_7,home_starters_8,home_starters_9,home_starters_10,home_subs_0,home_subs_1,home_subs_2,home_subs_3,home_subs_4,home_subs_5,home_subs_6,home_subs_7,home_subs_8,home_possession,home_shots_on_target,home_shots,home_touches,home_passes,home_tackles,home_clearances,home_corners,home_offsides,home_yellow_cards,home_fouls_conceded,away_name,away_starters_0,away_starters_1,away_starters_2,away_starters_3,away_starters_4,away_starters_5,away_starters_6,away_starters_7,away_starters_8,away_starters_9,away_starters_10,away_subs_0,away_subs_1,away_subs_2,away_subs_3,away_subs_4,away_subs_5,away_subs_6,away_subs_7,away_subs_8,away_possession,away_shots_on_target,away_shots,away_touches,away_passes,away_tackles,away_clearances,away_corners,away_offsides,away_yellow_cards,away_fouls_conceded
75106,home,Manchester United,2,1,5,1,0,20,Manchester United,David de Gea,Tyrell Malacia,Raphaël Varane,Luke Shaw,Aaron Wan-Bissaka,Bruno Fernandes,Marcus Rashford,Christian Eriksen,Fred,Casemiro,Anthony Martial,Tom Heaton,Victor Lindelöf,Harry Maguire,Lisandro Martínez,Scott McTominay,Kobbie Mainoo,Antony,Anthony Elanga,Alejandro Garnacho,29.4,4,8,444,310,15,26,1,6,3,15,Manchester City,Ederson,Kyle Walker,Nathan Aké,João Cancelo,Manuel Akanji,Rodri,Kevin De Bruyne,Bernardo Silva,Erling Haaland,Riyad Mahrez,Phil Foden,Stefan Ortega,Aymeric Laporte,Rico Lewis,Kalvin Phillips,Ilkay Gündogan,Jack Grealish,Sergio Gómez,Cole Palmer,Julián Álvarez,70.6,1,5,878,737,6,5,2,2,0,5
75107,home,Newcastle United,1,0,4,5,0,20,Newcastle United,Nick Pope,Kieran Trippier,Sven Botman,Fabian Schär,Dan Burn,Joe Willock,Sean Longstaff,Bruno Guimarães,Joelinton,Callum Wilson,Miguel Almirón,Martin Dúbravka,Jamaal Lascelles,Jamal Lewis,Javier Manquillo,Matt Ritchie,Jacob Murphy,Allan Saint-Maximin,Alexander Isak,Chris Wood,62.3,5,20,636,449,18,12,10,2,1,6,Fulham,Bernd Leno,Kenny Tete,Layvin Kurzawa,Tim Ream,Issa Diop,Harrison Reed,Bobby De Cordova-Reid,Andreas Pereira,Willian,João Palhinha,Aleksandar Mitrovic,Marek Rodák,Tosin Adarabioyo,Harry Wilson,Tom Cairney,Nathaniel Chalobah,Dan James,Luke Harris,Manor Solomon,Carlos Vinícius,37.7,0,5,450,270,17,27,5,3,3,14
75108,home,Nottingham Forest,2,0,4,3,0,20,Nottingham Forest,Dean Henderson,Joe Worrall,Serge Aurier,Scott McKenna,Renan Lodi,Orel Mangala,Ryan Yates,Remo Freuler,Gustavo Scarpa,Morgan Gibbs-White,Brennan Johnson,Wayne Hennessey,Steve Cook,Neco Williams,Harry Toffolo,Jack Colback,Lewis O'Brien,Sam Surridge,Alex Mighten,Emmanuel Dennis,38.8,5,15,548,345,14,27,3,2,1,11,Leicester City,Danny Ward,Wout Faes,Daniel Amartey,Timothy Castagne,Luke Thomas,Harvey Barnes,Youri Tielemans,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Daniel Iversen,Çaglar Söyüncü,Jannik Vestergaard,Dennis Praet,Lewis Brunt,Sammy Braybrooke,Kasey McAteer,Kelechi Iheanacho,Patson Daka,61.2,1,6,737,547,12,15,5,1,2,12
75109,away,Arsenal,0,2,5,4,0,20,Tottenham Hotspur,Hugo Lloris,Eric Dier,Cristian Romero,Clément Lenglet,Matt Doherty,Pierre-Emile Højbjerg,Ryan Sessegnon,Pape Sarr,Son Heung-Min,Harry Kane,Dejan Kulusevski,Fraser Forster,Davinson Sánchez,Emerson Royal,Ben Davies,Oliver Skipp,Ivan Perisic,Yves Bissouma,Richarlison,Bryan Gil,50.6,7,17,654,461,17,21,4,1,4,16,Arsenal,Aaron Ramsdale,Ben White,Gabriel Magalhães,William Saliba,Oleksandr Zinchenko,Thomas Partey,Martin Ødegaard,Granit Xhaka,Bukayo Saka,Gabriel Martinelli,Eddie Nketiah,Matt Turner,Kieran Tierney,Rob Holding,Takehiro Tomiyasu,Emile Smith Rowe,Fábio Vieira,Albert Sambi Lokonga,Matt Smith,Marquinhos,49.4,5,14,654,456,13,29,3,2,2,15
75110,home,Wolverhampton Wanderers,1,0,5,2,0,20,Wolverhampton Wanderers,José Sá,Nathan Collins,Nélson Semedo,Maximilian Kilman,Hugo Bueno,Rúben Neves,Matheus Nunes,João Moutinho,Matheus Cunha,Daniel Podence,Hwang Hee-Chan,Matija Sarkic,Rayan Aït-Nouri,Jonny,Toti,Mario Lemina,Joseph Hodge,Chem Campbell,Raúl Jiménez,Adama Traoré,58.5,4,17,753,548,15,35,4,4,0,10,West Ham United,Lukasz Fabianski,Aaron Cresswell,Vladimír Coufal,Angelo Ogbonna,Nayef Aguerd,Lucas Paquetá,Tomás Soucek,Declan Rice,Pablo Fornals,Michail Antonio,Jarrod Bowen,Darren Randolph,Ben Johnson,Kurt Zouma,Thilo Kehrer,Emerson,Manuel Lanzini,Flynn Downes,Gianluca Scamacca,Saïd Benrahma,41.5,4,16,564,369,11,17,3,1,2,7
75111,home,Arsenal,3,2,3,2,0,21,Arsenal,Aaron Ramsdale,Ben White,Gabriel Magalhães,William Saliba,Oleksandr Zinchenko,Thomas Partey,Martin Ødegaard,Granit Xhaka,Bukayo Saka,Gabriel Martinelli,Eddie Nketiah,Matt Turner,Kieran Tierney,Rob Holding,Takehiro Tomiyasu,Emile Smith Rowe,Fábio Vieira,Albert Sambi Lokonga,Leandro Trossard,Marquinhos,57.2,5,25,708,520,21,10,12,1,1,8,Manchester United,David de Gea,Lisandro Martínez,Raphaël Varane,Luke Shaw,Aaron Wan-Bissaka,Bruno Fernandes,Marcus Rashford,Christian Eriksen,Antony,Scott McTominay,Wout Weghorst,Tom Heaton,Victor Lindelöf,Harry Maguire,Tyrell Malacia,Fred,Facundo Pellistri,Kobbie Mainoo,Anthony Elanga,Alejandro Garnacho,42.8,4,6,603,396,21,36,4,4,2,9
75112,draw,draw,1,1,2,6,0,21,Bournemouth,Neto,Jack Stephens,Lloyd Kelly,Adam Smith,Jordan Zemura,Jefferson Lerma,Dango Ouattara,Joe Rothwell,Jaidon Anthony,Ryan Christie,Kieffer Moore,Mark Travers,Chris Mepham,Jack Stacey,Marcos Senesi,Siriki Dembélé,Ben Pearson,Daniel Adu-Adjei,Euan Pollock,Dominic Sadi,42.7,4,16,548,359,11,29,4,2,1,10,Nottingham Forest,Wayne Hennessey,Joe Worrall,Serge Aurier,Willy Boly,Renan Lodi,Orel Mangala,Morgan Gibbs-White,Ryan Yates,Remo Freuler,Chris Wood,Brennan Johnson,Jordan Smith,Steve Cook,Neco Williams,Scott McKenna,Danilo,Jack Colback,Jesse Lingard,Gustavo Scarpa,Sam Surridge,57.3,5,20,686,472,22,20,6,2,2,7
75113,draw,draw,0,0,5,3,0,21,Crystal Palace,Vicente Guaita,Joel Ward,Tyrick Mitchell,Marc Guéhi,Chris Richards,Jordan Ayew,Eberechi Eze,Wilfried Zaha,Jeffrey Schlupp,Cheick Oumar Doucouré,Odsonne Édouard,Sam Johnstone,Nathaniel Clyne,Luka Milivojevic,Michael Olise,Will Hughes,Jairo Riedewald,Jack Wells-Morrison,David Ozoh,Jean-Philippe Mateta,39.2,1,6,524,316,29,30,3,0,4,13,Newcastle United,Nick Pope,Kieran Trippier,Sven Botman,Fabian Schär,Dan Burn,Joe Willock,Sean Longstaff,Bruno Guimarães,Joelinton,Callum Wilson,Miguel Almirón,Martin Dúbravka,Jamaal Lascelles,Jamal Lewis,Javier Manquillo,Matt Ritchie,Jacob Murphy,Elliot Anderson,Allan Saint-Maximin,Alexander Isak,60.8,7,16,712,488,19,22,15,1,2,7
75114,away,Tottenham Hotspur,0,1,4,2,0,21,Fulham,Bernd Leno,Kenny Tete,Tim Ream,Issa Diop,Antonee Robinson,Harrison Reed,Bobby De Cordova-Reid,Andreas Pereira,Willian,João Palhinha,Aleksandar Mitrovic,Marek Rodák,Layvin Kurzawa,Tosin Adarabioyo,Harry Wilson,Tom Cairney,Nathaniel Chalobah,Dan James,Manor Solomon,Carlos Vinícius,52.9,5,10,707,485,19,14,3,2,1,10,Tottenham Hotspur,Hugo Lloris,Eric Dier,Cristian Romero,Ben Davies,Pierre-Emile Højbjerg,Emerson Royal,Ivan Perisic,Rodrigo Bentancur,Son Heung-Min,Harry Kane,Dejan Kulusevski,Fraser Forster,Matt Doherty,Davinson Sánchez,Japhet Tanganga,Clément Lenglet,Oliver Skipp,Ryan Sessegnon,Yves Bissouma,Richarlison,47.1,3,10,643,446,23,31,8,0,3,10
75115,draw,draw,0,0,3,2,0,21,Leeds United,Illan Meslier,Luke Ayling,Robin Koch,Pascal Struijk,Maximilian Wöber,Brenden Aaronson,Marc Roca,Jack Harrison,Tyler Adams,Wilfried Gnonto,Rodrigo,Joel Robles,Junior Firpo,Diego Llorente,Rasmus Kristensen,Patrick Bamford,Luis Sinisterra,Georginio Rutter,Joe Gelhardt,Sam Greenwood,58.5,5,9,693,501,17,18,2,1,2,10,Brentford,David Raya,Ethan Pinnock,Ben Mee,Kristoffer Ajer,Rico Henry,Christian Nørgaard,Mathias Jensen,Josh Dasilva,Mads Roerslev,Ivan Toney,Bryan Mbeumo,Thomas Strakosha,Aaron Hickey,Zanka,Kevin Schade,Yoane Wissa,Mikkel Damsgaard,Vitaly Janelt,Saman Ghoddos,Keane Lewis-Potter,41.5,0,6,547,346,14,23,3,1,2,18
